DRV_COD
€STR
10Y ITA
10Y USA
Brent
Consumi privati - Italia (% a/a)
Consumi privati - Italia (% t/t)
Consumi privati - Italia (livello)
Euribor 3M
Eurostoxx 50
EURUSD
Ftse Mib
Germania 10Y
Inflazione - Area Euro (% a/a)
Inflazione - Cina (% a/a)
Inflazione - Giappone (% a/a)
Inflazione - India (% a/a)
Inflazione - Italia (% a/a)
Inflazione - USA (% a/a)
Investimenti in macchinari - Italia (% a/a)
Investimenti in macchinari - Italia (% t/t)
Investimenti in macchinari - Italia (livello)
IRS 10Y
PIL - Area Euro (% a/a)
PIL - Area Euro (% t/t)
PIL - Area Euro (livello)
PIL - Cina (% a/a)
PIL - Giappone (% a/a)
PIL - India (% a/a)
PIL - Italia (% a/a)
PIL - Italia (% t/t)
PIL - Italia (livello)
PIL - USA (% a/a)
PIL - USA (% t/t)
PIL - USA (livello)
Prezzi immobili (% a/a)
S&P
SPREAD ITA GER
Tasso BCE
Tasso di disoccupazione - Italia
Tasso FED
