DRV_COD
€STR
10Y ITA
Consumi privati - Italia (% a/a)
Consumi privati - Italia (% t/t)
Consumi privati - Italia (livello)
Euribor 3M
Eurostoxx 50
EURUSD
Ftse Mib
Inflazione - Italia (% a/a)
Inflazione - USA (% a/a)
Investimenti in macchinari - Italia (% a/a)
Investimenti in macchinari - Italia (livello)
IRS 10Y
PIL - Area Euro (% t/t)
PIL - Area Euro (livello)
PIL - Italia (% a/a)
PIL - Italia (% t/t)
PIL - Italia (livello)
PIL - USA (% a/a)
PIL - USA (% t/t)
PIL - USA (livello)
Prezzi immobili (% a/a)
S&P
SPREAD ITA GER
Tasso di disoccupazione - Italia
Tasso FED
