ECO_GRP_0;ECO_GRP_1;DRV_COD
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;IRS 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;IRS 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;IRS 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;IRS 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;IRS 10Y
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;PIL - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;PIL - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;PIL - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;PIL - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;PIL - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;PIL - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;PIL - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;PIL - Area Euro (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;PIL - Area Euro (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;PIL - Area Euro (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;PIL - Area Euro (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;PIL - Area Euro (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;PIL - Area Euro (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;PIL - Area Euro (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;PIL - Area Euro (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;PIL - Area Euro (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;PIL - Area Euro (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;PIL - Area Euro (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;PIL - Area Euro (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;PIL - Area Euro (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;PIL - Area Euro (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;PIL - Area Euro (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;PIL - Area Euro (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;PIL - Area Euro (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;PIL - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;PIL - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;PIL - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;PIL - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;PIL - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;PIL - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;PIL - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;PIL - Cina (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;PIL - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;PIL - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;PIL - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;PIL - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;PIL - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;PIL - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;PIL - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;PIL - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;PIL - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;PIL - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;PIL - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;PIL - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;PIL - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;PIL - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;PIL - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;PIL - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;PIL - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;PIL - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;PIL - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;PIL - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;PIL - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;PIL - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;PIL - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;PIL - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;PIL - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;PIL - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;PIL - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;PIL - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;PIL - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;PIL - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;PIL - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;PIL - Italia (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;PIL - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;PIL - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;PIL - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;PIL - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;PIL - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;PIL - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;PIL - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;PIL - Italia (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;PIL - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;PIL - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;PIL - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;PIL - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;PIL - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;PIL - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;PIL - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;PIL - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;PIL - USA (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;PIL - USA (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;PIL - USA (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;PIL - USA (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;PIL - USA (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;PIL - USA (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;PIL - USA (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;PIL - USA (% t/t)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;PIL - USA (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;PIL - USA (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;PIL - USA (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;PIL - USA (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;PIL - USA (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;PIL - USA (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;PIL - USA (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;PIL - USA (livello)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Prezzi immobili (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Prezzi immobili (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Prezzi immobili (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Prezzi immobili (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Prezzi immobili (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Prezzi immobili (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Prezzi immobili (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Prezzi immobili (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;S&P
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;S&P
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;S&P
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;S&P
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;S&P
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;S&P
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;S&P
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;S&P
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;SPREAD ITA GER
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;SPREAD ITA GER
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;SPREAD ITA GER
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;SPREAD ITA GER
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;SPREAD ITA GER
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;SPREAD ITA GER
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;SPREAD ITA GER
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;SPREAD ITA GER
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Tasso BCE
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Tasso BCE
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Tasso BCE
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Tasso BCE
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Tasso BCE
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Tasso BCE
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Tasso BCE
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Tasso BCE
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Tasso di disoccupazione - Italia
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Tasso di disoccupazione - Italia
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Tasso di disoccupazione - Italia
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Tasso di disoccupazione - Italia
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Tasso di disoccupazione - Italia
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Tasso di disoccupazione - Italia
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Tasso di disoccupazione - Italia
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Tasso di disoccupazione - Italia
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Tasso FED
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Tasso FED
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Tasso FED
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Tasso FED
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Tasso FED
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Tasso FED
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Tasso FED
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Tasso FED
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Ftse Mib
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Ftse Mib
