DRV_COD
Euribor 3M
Ftse Mib
Inflazione - Italia (% a/a)
Investimenti in macchinari - Italia (% a/a)
IRS 10Y
PIL - Italia (% a/a)
PIL - Italia (livello)
Prezzi immobili (% a/a)
SPREAD ITA GER
Tasso di disoccupazione - Italia
